,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
1,['2025-02-17T15:01:41Z'],['Ugy7P_J2SzRl_WJaKWh4AaABAg'],achha lagta ki koi dusra desi ki log hamare desh ka tarif karte hne 🇮🇳💪🔥💥🦁,[0],[0],achha lagta ki koi dusra desi ki log hamare desh ka tarif karte hne
2,['2025-02-17T10:36:54Z'],['UgxrzetyYPLLujrVmsl4AaABAg'],nice big brother,[0],[0],nice big brother
4,['2025-02-13T08:44:58Z'],['UgyfsgHxloij31khRNR4AaABAg'],much jantar mantar work compared telescope 🔭,[0],[0],much jantar mantar work compared telescope
5,['2025-02-09T03:43:28Z'],['Ugz9GPz0JoZOWzZFzXh4AaABAg'],\u0001fae1\u0001fae1\u0001fae1\u0001fae1\u0001fae1,[0],[0],u0001fae1u0001fae1u0001fae1u0001fae1u0001fae1
6,['2025-02-04T17:41:33Z'],['UgxDlKR5ms1tUlY_t094AaABAg'],power modi ji ❤,[0],[0],power modi ji
7,['2025-01-26T07:12:12Z'],['UgzI6Q7pRxSphJIwMO54AaABAg'],water moon air,[1],[0],water moon air
8,['2025-01-24T18:48:54Z'],['Ugx4PCD_lig4hZUtBrB4AaABAg'],pi network ka kya status h ??,[0],[0],pi network ka kya status h
9,['2025-01-24T18:48:24Z'],['Ugzj9sZYPK0Nu1BwN094AaABAg'],dhruv sir pi network pr video bna pls ❤❤,[0],[0],dhruv sir pi network pr video bna pls
10,['2025-01-22T09:54:14Z'],['Ugx0HbjDUd958ZmosgF4AaABAg'],support dhruv rathi,[0],[0],support dhruv rathi
12,['2025-01-21T17:53:31Z'],['UgytvPpG_F4M_7jnVON4AaABAg'],congretchulation india love india🎉❤,[0],[0],congretchulation india love india
13,['2025-01-21T17:53:01Z'],['UgwvAPuMPI4HWnrpyfd4AaABAg'],congretchulation india🎉❤,[0],[0],congretchulation india
14,['2025-01-19T15:45:28Z'],['UgxM2b3ST_UdcT3byWV4AaABAg'],it&#39;s interesting chapter.,[0],[0],it39s interesting chapter
17,['2025-01-15T09:47:51Z'],['UgydwkunH3POvUh4Hm94AaABAg'],"ideot know truth , sow tharpt",[0],[0],ideot know truth sow tharpt
18,['2025-01-15T09:06:52Z'],['UgybPJNfvpIBYCf3eQV4AaABAg'],idiot poor illiterate indian gonna destroy earth,[0],[0],idiot poor illiterate indian gonna destroy earth
19,['2025-01-14T04:50:12Z'],['UgzUfODxpUkIm3FqaA14AaABAg'],don&#39;t believe religion say namaste beginning video ??🤨🤨,[1],[1],don39t believe religion say namaste beginning video
20,['2025-01-13T14:29:47Z'],['UgxtGGP9ygOHdLmD8Mh4AaABAg'],video high tides low tides.,[0],[1],video high tides low tides
24,['2025-01-08T09:35:05Z'],['UgwmbkC-GLesd1Z0dll4AaABAg'],aree lander ki need kya hai jub insan hi ja chuka wo soil le aata koi btao,[0],[0],aree lander ki need kya hai jub insan hi ja chuka wo soil le aata koi btao
27,['2024-12-25T05:10:50Z'],['Ugw_N1bHQ3iC_A9zSNd4AaABAg'],congratulations isro ❤❤ love odisha,[0],[0],congratulations isro love odisha
30,['2024-12-12T08:38:20Z'],['UgwM-SYRWwkpd9-ieAR4AaABAg'],guy supporter congress cpm. criticized country many times. enjoying life germany.,[0],[2],guy supporter congress cpm criticized country many times enjoying life germany
31,['2024-12-11T12:54:11Z'],['UgyuBEhfIXLPIpUB8fd4AaABAg'],shree ramchndra bhagwan ni prerana thi india j moon ni dark side pahochi saktu...russia ae try karyo hato...pan pahochi sakyu....pehlo evo desh chhe jen moon ni dark side pahochayo....isro..vikram sarabhai....jay hind🇮🇳 russia &amp; ukraine world war praman...raja mauli rrr film shoot siddhpur &amp; ukrain oraganic farming esrail thay chhe...esrail iran world war praman organic farming india&#39;s first film jagya tyar thi savar...shuprabhat...kutch....shree hariprasad vishnu bhagwan 2nd avtar kutchp,[0],[0],shree ramchndra bhagwan ni prerana thi india j moon ni dark side pahochi sakturussia ae try karyo hatopan pahochi sakyupehlo evo desh chhe jen moon ni dark side pahochayoisrovikram sarabhaijay hind russia amp ukraine world war pramanraja mauli rrr film shoot siddhpur amp ukrain oraganic farming esrail thay chheesrail iran world war praman organic farming india39s first film jagya tyar thi savarshuprabhatkutchshree hariprasad vishnu bhagwan 2nd avtar kutchp
32,['2024-12-08T16:37:51Z'],['Ugy_4EIXzax63m43kjl4AaABAg'],"thank you,this video helped space science project ❤❤.!",[0],[0],thank youthis video helped space science project
33,['2024-12-05T06:00:41Z'],['UgwezlNLH_0FeE-Eww14AaABAg'],2025 bar mai sabhi andbhkato upar jate dekna chahata hu.our modiji ko bhi tabhi mahegai berojgari kam hogi. 😂😂😂😂😂,[0],[0],2025 bar mai sabhi andbhkato upar jate dekna chahata huour modiji ko bhi tabhi mahegai berojgari kam hogi
34,['2024-11-18T12:13:19Z'],['UgxzXQsdlX7JsTgMnxt4AaABAg'],"congratulations india success moon.from bangladesh.kudos indian astronomers,scientists,engineers scientists wroked hard made possible.",[0],[1],congratulations india success moonfrom bangladeshkudos indian astronomersscientistsengineers scientists wroked hard made possible
36,['2024-10-26T12:24:22Z'],['UgyVWIhV6wTz2drSX0V4AaABAg'],69😂,[0],[1],69
37,['2024-10-25T19:29:02Z'],['UgzTfWnoyO3IVxgyBrt4AaABAg'],watching video much flex class best speech school one expect watched video,[0],[1],watching video much flex class best speech school one expect watched video
38,['2024-10-25T15:45:36Z'],['Ugy3RGJuiUjiqQjDG3Z4AaABAg'],satellite pa video banao,[0],[1],satellite pa video banao
39,['2024-10-25T10:05:34Z'],['UgzqpgGhCT4Ci231SkR4AaABAg'],jarmani pado,[0],[1],jarmani pado
40,['2024-10-24T11:32:35Z'],['UgyJMg6S1m9QFyoAncZ4AaABAg'],praud bhe indian scientist ❤🇮🇳🙏,[0],[3],praud bhe indian scientist
41,['2024-10-24T07:29:38Z'],['UgwvsVeo2lcMEXBjOJN4AaABAg'],sir dobara koi insaan moon pe kyu 🙂🙂 nahi gya,[0],[1],sir dobara koi insaan moon pe kyu nahi gya
42,['2024-10-22T03:50:39Z'],['UgwZ9cqAAIwLbFzlHuB4AaABAg'],asa kese kuch samay pehle des piche chala gya aaj achanak kese bharat ki yad aai,[0],[1],asa kese kuch samay pehle des piche chala gya aaj achanak kese bharat ki yad aai
43,['2024-10-20T15:47:12Z'],['UgyMg3yKIXlRfmpJUrh4AaABAg'],sir iss per video banaye kya robot bacche paida kar sakta hai,[0],[1],sir iss per video banaye kya robot bacche paida kar sakta hai
45,['2024-10-19T16:53:38Z'],['UgwHX2Et6RYE2wekKQh4AaABAg'],bhaiya muze ashoka budhha ke upar video hona☸️🛐,[0],[1],bhaiya muze ashoka budhha ke upar video hona
46,['2024-10-15T10:19:25Z'],['Ugw9S2Esd1XOTbEpF0R4AaABAg'],iam proud hindu,[0],[1],iam proud hindu
51,['2024-09-24T14:00:10Z'],['UgxrbBHQE9tnoCoc2RZ4AaABAg'],good video chanderyaan 3 makeabels engineer chanderyaan 3 victor inayat ghouri engineer space..,[0],[1],good video chanderyaan 3 makeabels engineer chanderyaan 3 victor inayat ghouri engineer space
53,['2024-09-24T09:58:39Z'],['UgyMB7CDLFbO6HSdoMF4AaABAg'],thankyou much🎉,[0],[1],thankyou much
54,['2024-09-17T10:07:02Z'],['Ugy9gttLCJcscCuE1md4AaABAg'],pakistani congratulations 🥳 india achievement ❤,[2],[9],pakistani congratulations india achievement
56,['2024-09-15T14:05:18Z'],['UgxzRuNovlDXd8o92oB4AaABAg'],dhruv sir videos knowledgeable love watching .,[0],[0],dhruv sir videos knowledgeable love watching
57,['2024-09-13T15:54:56Z'],['UgyjO8tMWj0CKeOOV_J4AaABAg'],मोदी के अंध भक्तो और पालतूओ को लगता है कि मोदी आने के बाद ही हम लोग सब कुछ कर रहे हैं ये तुम लोगो की व्हाट्सएप यूनिवर्सिटी का फेलाया हुआ झूट और कुछ भी नहीं हम लोग 1970 में ही स्पेस में जा चुके थे और चांद पर जा चुके थे और तुम्हारे non biological का बस चले तो वो isro को प्राइवेट कर के किसी को बेच दे जैसे उसने देश की हर चीज को बेच दिया था,[0],[2],1970 non biological isro
58,['2024-09-12T15:49:12Z'],['Ugz1FtxYv4bd9DAJwoZ4AaABAg'],bro mangalore karnataka india bigg fan dhuruv rathee ❤,[0],[0],bro mangalore karnataka india bigg fan dhuruv rathee
59,['2024-09-10T14:57:01Z'],['UgyfXTst4mU4jnz1__t4AaABAg'],u r great sir ❤❤❤❤,[0],[0],u r great sir
60,['2024-09-07T10:25:52Z'],['Ugy1k499Wq5IWFXdbuh4AaABAg'],1969 ensan chla gya video shi bna bhai,[0],[0],1969 ensan chla gya video shi bna bhai
61,['2024-08-30T11:23:12Z'],['Ugyw9CMTWvh_AZRHafF4AaABAg'],"india touched surface moon.. proud dedicated scientists. unfortunately, surface earth becoming like moon , huge crators roads😢",[0],[0],india touched surface moon proud dedicated scientists unfortunately surface earth becoming like moon huge crators roads
62,['2024-08-29T20:26:07Z'],['UgyaT7Lqxuz_An7BzZl4AaABAg'],imran khan great leader ..,[0],[0],imran khan great leader
63,['2024-08-28T03:22:55Z'],['UgwOM6meavyk6ZX7Of94AaABAg'],right sir,[0],[0],right sir
64,['2024-08-28T01:09:42Z'],['UgyYKME1ari_213W34x4AaABAg'],phale oribtal mission hua tha na luna 10 ke sath phir kaise luna 9 lander mission kaise kar sakta hai,[0],[0],phale oribtal mission hua tha na luna 10 ke sath phir kaise luna 9 lander mission kaise kar sakta hai
65,['2024-08-27T17:42:35Z'],['UgzALVLfFVZxuKOZRZh4AaABAg'],ye read kar raha h dosto iske gyan ko lekar jyada pradaan mt hona 😂😂😂,[0],[0],ye read kar raha h dosto iske gyan ko lekar jyada pradaan mt hona
66,['2024-08-27T08:05:37Z'],['UgxbkqOcNVdylVKZaJp4AaABAg'],kahin aliens v earth pe impact mission na karte rahe😀,[0],[0],kahin aliens v earth pe impact mission na karte rahe
67,['2024-08-26T10:03:49Z'],['UgxlxP4Iy22bBl4d1Ot4AaABAg'],chandrayan 3 land ho choka,[0],[0],chandrayan 3 land ho choka
74,['2024-08-23T04:19:43Z'],['Ugwge4mvTgPKr-8RLil4AaABAg'],kon kon meri tarah 2024 ye video dekh rha h 😅,[0],[2],kon kon meri tarah 2024 ye video dekh rha h
75,['2024-08-22T15:01:47Z'],['UgzA-u4lgUZTfMDOnL14AaABAg'],sir please upload new video information chandrayan (after landing),[0],[2],sir please upload new video information chandrayan after landing
79,['2024-08-19T08:20:33Z'],['UgwrcCeNT_Smb9Mlrsl4AaABAg'],proud indian bharat matha ki jai,[0],[4],proud indian bharat matha ki jai
80,['2024-08-17T18:25:20Z'],['UgxuCJ-eiSSfAEuoM1l4AaABAg'],don&#39;t join fake parcen,[0],[1],don39t join fake parcen
