Cleaned_Comment,Predicted_Sentiment
watching today,positive
sa donated the cup to india these sa players cannot break the shackles of a choker tag,negative
i am crying,negative
uff the commentary is at its best,positive
forever india,positive
one of the most memorable final match ever,positive
epic final catch amp match ever,positive
what to typei dont know hoping for the champions trophy now,positive
came back to see that catch by surya,positive
tears do not stop after seeing this,negative
pure cinema period,positive
a moment never to be forgotten team india played so well thank you hardik,positive
i am happy india won the world cup but i feel very much sad for south africa and especially heinrich klaasen,negative
pant ne jo break liya vo best tha then india comback,positive
this is not a movement this is imotion,negative
we won bt feeling for south africa i pray to god that they should win wtc finalpls god one to them pls god,negative
im english but no one will ever be able to persuade me south africa didnt choked this rather than india brilliance,negative
what about editing hats off,negative
klasan you r brilliant player,positive
real stars,positive
cinema at its best,positive
i cried a lot on that day,negative
hardik shubhkamnaye,negative
coolest moment,positive
indian players main in final hardiksuryabumrah,positive
pakistani yo ka maa ka yaar hai my india,negative
hardik pandya such a characterhow mentally touch he is,positive
will always keep coming back and watching this world cup victory always makes my day a little more better,positive
goosebumps every time i watch this,positive
when rohit digged the indian flag,positive
we can clearly see the emotion of hardik while bowling the last ballhe started runup by crying,positive
everytime i watch this i literally feel goosebumps i still remember that day i was sitting in the same pose on my sofa what an intense match it was it was rp who broke the rhythm of klassen and then hardik pandya did the rest job,positive
its time of champions trophy edit icc,positive
fact this is not your first time seeing this,positive
we need same moment icc champion trophy,positive
the match was not less than a thriller script,positive
nagaur rajasthan se kon kon dekh rha h,negative
ian bishop is the greatest commentator in cricketer,positive
anyone on champions trophy,positive
ankho me ansu ayatha match dekhkar,positive
lora,positive
kise ka dil juda toh kisa ka sil tuta,negative
i rarely support indian team as im pakistan cricket team fan but my god this match i was team india all the way they really deserved it every inch of the success they deserved it,positive
hardik the clucth master,negative
lets go india,positive
india will champion trophy,positive
shandaar match,positive
who saw surya catch live,positive
i only believe on jassi bhai he is a game changer player,positive
hope so india will repeat this in champion trophy also,positive
what a memory,positive
jetna baar dekho maan nahin bharta,negative
im hooked on roulette lately watching that wheel spin is just mesmerizing isnt it,positive
ive actually been getting into the cricket betting the live updates make it so much more thrilling,positive
respect for editor,positive
whenever life feels pointless i revisit this,negative
quotwhats a wordcup without records being brokenquot,negative
pakistan abbu world cup jeet gaye,positive
still give goosebumps,positive
the most thriller final,negative
watching this before going to sleep to forget bad form of roko and bgt loss,negative
this world cup final is full of emotions best ever world cupnail biting thriller match,positive
hardik pandya the hero,positive
