,Unnamed: 0,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
0,0,['2025-03-04T03:44:31Z'],['Ugy_p3rAg3mr7ugRQI94AaABAg'],Watching today❤,[0],[0],watching today
2,4,['2025-03-03T17:46:51Z'],['UgzmKncKRQXL41MQBol4AaABAg'],SA donated the Cup to India.  These SA players cannot break the shackles of a Choker tag.,[0],[0],sa donated the cup to india these sa players cannot break the shackles of a choker tag
4,8,['2025-03-03T10:13:26Z'],['UgyIEqrwZqO0-T8kVaV4AaABAg'],I am crying 😭,[0],[0],i am crying
5,9,['2025-03-03T06:40:47Z'],['UgyEAYG9exCnZf5oe3x4AaABAg'],Uff the commentary is at its best..❤❤❤,[0],[0],uff the commentary is at its best
7,13,['2025-03-02T06:51:57Z'],['UgxTIJlHxJ3n0oRQOPp4AaABAg'],❤forever INDIA❤,[0],[0],forever india
8,15,['2025-03-02T04:17:41Z'],['UgzxscBBY4J9BeOFoWJ4AaABAg'],One of the most memorable final match ever,[0],[0],one of the most memorable final match ever
10,17,['2025-03-01T19:04:58Z'],['UgzKbg83acvdCswFZSh4AaABAg'],EPIC FINAL CATCH &amp; MATCH EVER....,[0],[0],epic final catch amp match ever
11,19,['2025-03-01T08:17:01Z'],['Ugz08WF80kJjFjbJCad4AaABAg'],✨what to type..i dont know ❤️Hoping for the Champions Trophy now🇮🇳,[0],[0],what to typei dont know hoping for the champions trophy now
12,23,['2025-02-28T08:56:35Z'],['Ugx7Niyob-XACVnG6Cp4AaABAg'],Came back to see that catch by Surya 🇮🇳,[0],[0],came back to see that catch by surya
13,24,['2025-02-28T01:50:47Z'],['UgwDX4TiAQ0Oy-PTXPV4AaABAg'],Tears do not stop after seeing this❤,[0],[0],tears do not stop after seeing this
14,25,['2025-02-27T20:56:30Z'],['UgxDnHZpV0ezWS55QSV4AaABAg'],PURE. CINEMA. PERIOD.,[0],[0],pure cinema period
