Original_Comment,Predicted_Sentiment
watching today,neutral
sa donated the cup to india these sa players cannot break the shackles of a choker tag,neutral
i am crying,negative
uff the commentary is at its best,positive
forever india,positive
one of the most memorable final match ever,positive
epic final catch amp match ever,positive
what to typei dont know hoping for the champions trophy now,neutral
came back to see that catch by surya,neutral
tears do not stop after seeing this,negative
pure cinema period,neutral
a moment never to be forgotten team india played so well thank you hardik,positive
i am happy india won the world cup but i feel very much sad for south africa and especially heinrich klaasen,negative
pant ne jo break liya vo best tha then india comback,neutral
this is not a movement this is imotion,negative
we won bt feeling for south africa i pray to god that they should win wtc finalpls god one to them pls god,positive
im english but no one will ever be able to persuade me south africa didnt choked this rather than india brilliance,negative
what about editing hats off,neutral
klasan you r brilliant player,positive
real stars,positive
cinema at its best,positive
i cried a lot on that day,negative
hardik shubhkamnaye,neutral
coolest moment,positive
indian players main in final hardiksuryabumrah,neutral
pakistani yo ka maa ka yaar hai my india,neutral
hardik pandya such a characterhow mentally touch he is,positive
will always keep coming back and watching this world cup victory always makes my day a little more better,positive
goosebumps every time i watch this,neutral
when rohit digged the indian flag,neutral
we can clearly see the emotion of hardik while bowling the last ballhe started runup by crying,neutral
everytime i watch this i literally feel goosebumps i still remember that day i was sitting in the same pose on my sofa what an intense match it was it was rp who broke the rhythm of klassen and then hardik pandya did the rest job,positive
its time of champions trophy edit icc,neutral
fact this is not your first time seeing this,neutral
we need same moment icc champion trophy,neutral
the match was not less than a thriller script,neutral
nagaur rajasthan se kon kon dekh rha h,neutral
ian bishop is the greatest commentator in cricketer,positive
anyone on champions trophy,neutral
ankho me ansu ayatha match dekhkar,neutral
lora,neutral
kise ka dil juda toh kisa ka sil tuta,neutral
i rarely support indian team as im pakistan cricket team fan but my god this match i was team india all the way they really deserved it every inch of the success they deserved it,positive
hardik the clucth master,neutral
lets go india,positive
india will champion trophy,positive
shandaar match,neutral
who saw surya catch live,neutral
i only believe on jassi bhai he is a game changer player,positive
hope so india will repeat this in champion trophy also,positive
what a memory,positive
jetna baar dekho maan nahin bharta,neutral
im hooked on roulette lately watching that wheel spin is just mesmerizing isnt it,positive
ive actually been getting into the cricket betting the live updates make it so much more thrilling,positive
respect for editor,neutral
whenever life feels pointless i revisit this,negative
quotwhats a wordcup without records being brokenquot,neutral
pakistan abbu world cup jeet gaye,neutral
still give goosebumps,positive
the most thriller final,positive
watching this before going to sleep to forget bad form of roko and bgt loss,neutral
this world cup final is full of emotions best ever world cupnail biting thriller match,positive
hardik pandya the hero,positive
pure gossbums,neutral
captain sharma jione more trphy for india,positive
my golden era gonna share with my kids one day,positive
no bumrah no cup,neutral
jasprit bumrah pride of india,positive
what a movie absolutely banger,positive
skins come to shiver thats what this means to indians,neutral
first world cup when there wasnt south africa second when india in south africaand third world cup there was coach from south africaand in fourth world there was oposite site of south africa,neutral
icc finals with ian smiths commentary match made in heaven,positive
jassi jesa koi nahi,neutral
hardik redemption arc,neutral
sandeep,neutral
underrated hero rishabh pant,positive
jay sah ne bola tha jhanda gadenge gaad diya rohit bhai ne,neutral
always tears in my eyes when saw this video,neutral
what a edit by icc,neutral
india will win because jasprit bumrah wicket,positive
feeling very much happy when aiden markram was crying,positive
really goosebumps,positive
its time for champions trophy,positive
one of the greatest catches when you looks at the occasion and pressure,positive
video,neutral
kuldeep the ultimate choker hope varun plays in champion trophy,neutral
respect for south africa team,neutral
klasen ki batting dekh kar kis kiske gote munh me aa gaye the,neutral
thanks to india because when ever i feel low i watched this video,positive
what a moment india after winning tha cup,positive
last few seconds emotions at peak,neutral
this is the one of those video that i can watch everyday,positive
south africa but i am indian,neutral
what happens to sa in icc tournaments,neutral
everything is great but nothing can beat long onnnnn long onnnnnnnn long onnnnnnnnnnnnnnnnnn surya kuuuuuuumar yadav,positive
all time best match,positive
south africa are real choker of world cricket,negative
long off will be always remembered,neutral
this wc was really the most important wc for india,positive
why no one talk about hardik,neutral
heart breaking for the two nations having green colour on their jersey,negative
this one for israel,neutral
our bowling,neutral
and from here we got quoti only believe in jassi bhai game changer player he isquot,neutral
long off long off long off surya kumar yadav surya kumar yadav ne pakda apni life ka sabse important catch,neutral
hardik pandya should be the captain,neutral
love you india from bangladesh,positive
pakistan cricket is finished,negative
this video gives me literal goosebumps proud to be an indian,positive
clutch god hardik,neutral
this video like a action movie trailer,negative
yeh video dekh ta hai toh ajj bhi rona ata hain kya din tha yeh din,neutral
every second is a goosebump for us,positive
everytime i see i get tears in my eyes the tears of joy thanku team india we love you for this amazing experience,positive
upload full match highlights,neutral
editing deserves a special award,positive
test or odi match spell shami harshadeepboomra,neutral
ian smith man o man what a voice he has,positive
im crying now also after seeing this vedio,negative
i am not crying its just something in the eye,negative
