Cleaned_Comment,Predicted_Sentiment
watching today,NEUTRAL
sa donated the cup to india these sa players cannot break the shackles of a choker tag,NEUTRAL
i am crying,NEGATIVE
uff the commentary is at its best,POSITIVE
forever india,NEUTRAL
one of the most memorable final match ever,POSITIVE
epic final catch amp match ever,POSITIVE
what to typei dont know hoping for the champions trophy now,NEUTRAL
came back to see that catch by surya,NEUTRAL
tears do not stop after seeing this,NEUTRAL
pure cinema period,POSITIVE
a moment never to be forgotten team india played so well thank you hardik,NEUTRAL
i am happy india won the world cup but i feel very much sad for south africa and especially heinrich klaasen,POSITIVE
pant ne jo break liya vo best tha then india comback,POSITIVE
this is not a movement this is imotion,NEUTRAL
we won bt feeling for south africa i pray to god that they should win wtc finalpls god one to them pls god,POSITIVE
im english but no one will ever be able to persuade me south africa didnt choked this rather than india brilliance,POSITIVE
what about editing hats off,NEUTRAL
klasan you r brilliant player,POSITIVE
real stars,POSITIVE
cinema at its best,POSITIVE
i cried a lot on that day,NEUTRAL
hardik shubhkamnaye,NEUTRAL
coolest moment,NEUTRAL
indian players main in final hardiksuryabumrah,POSITIVE
pakistani yo ka maa ka yaar hai my india,NEUTRAL
hardik pandya such a characterhow mentally touch he is,NEGATIVE
will always keep coming back and watching this world cup victory always makes my day a little more better,POSITIVE
goosebumps every time i watch this,NEUTRAL
when rohit digged the indian flag,NEUTRAL
we can clearly see the emotion of hardik while bowling the last ballhe started runup by crying,NEGATIVE
everytime i watch this i literally feel goosebumps i still remember that day i was sitting in the same pose on my sofa what an intense match it was it was rp who broke the rhythm of klassen and then hardik pandya did the rest job,POSITIVE
its time of champions trophy edit icc,NEUTRAL
fact this is not your first time seeing this,POSITIVE
we need same moment icc champion trophy,NEUTRAL
the match was not less than a thriller script,POSITIVE
nagaur rajasthan se kon kon dekh rha h,NEUTRAL
ian bishop is the greatest commentator in cricketer,POSITIVE
anyone on champions trophy,NEUTRAL
ankho me ansu ayatha match dekhkar,NEUTRAL
lora,NEUTRAL
kise ka dil juda toh kisa ka sil tuta,NEUTRAL
i rarely support indian team as im pakistan cricket team fan but my god this match i was team india all the way they really deserved it every inch of the success they deserved it,POSITIVE
hardik the clucth master,NEUTRAL
lets go india,NEUTRAL
india will champion trophy,NEUTRAL
shandaar match,NEUTRAL
who saw surya catch live,POSITIVE
i only believe on jassi bhai he is a game changer player,NEGATIVE
hope so india will repeat this in champion trophy also,NEUTRAL
what a memory,NEUTRAL
jetna baar dekho maan nahin bharta,NEUTRAL
im hooked on roulette lately watching that wheel spin is just mesmerizing isnt it,NEUTRAL
ive actually been getting into the cricket betting the live updates make it so much more thrilling,POSITIVE
respect for editor,NEUTRAL
whenever life feels pointless i revisit this,NEGATIVE
quotwhats a wordcup without records being brokenquot,NEUTRAL
pakistan abbu world cup jeet gaye,NEUTRAL
still give goosebumps,NEUTRAL
the most thriller final,POSITIVE
watching this before going to sleep to forget bad form of roko and bgt loss,NEGATIVE
this world cup final is full of emotions best ever world cupnail biting thriller match,POSITIVE
hardik pandya the hero,NEUTRAL
pure gossbums,POSITIVE
captain sharma jione more trphy for india,POSITIVE
my golden era gonna share with my kids one day,POSITIVE
no bumrah no cup,NEUTRAL
jasprit bumrah pride of india,NEUTRAL
what a movie absolutely banger,POSITIVE
skins come to shiver thats what this means to indians,NEUTRAL
first world cup when there wasnt south africa second when india in south africaand third world cup there was coach from south africaand in fourth world there was oposite site of south africa,POSITIVE
icc finals with ian smiths commentary match made in heaven,NEUTRAL
jassi jesa koi nahi,NEUTRAL
hardik redemption arc,NEUTRAL
sandeep,NEUTRAL
underrated hero rishabh pant,NEUTRAL
jay sah ne bola tha jhanda gadenge gaad diya rohit bhai ne,NEUTRAL
always tears in my eyes when saw this video,NEUTRAL
what a edit by icc,NEUTRAL
india will win because jasprit bumrah wicket,POSITIVE
feeling very much happy when aiden markram was crying,POSITIVE
really goosebumps,POSITIVE
its time for champions trophy,NEUTRAL
one of the greatest catches when you looks at the occasion and pressure,POSITIVE
video,NEUTRAL
kuldeep the ultimate choker hope varun plays in champion trophy,NEUTRAL
respect for south africa team,NEUTRAL
klasen ki batting dekh kar kis kiske gote munh me aa gaye the,NEUTRAL
thanks to india because when ever i feel low i watched this video,POSITIVE
what a moment india after winning tha cup,POSITIVE
last few seconds emotions at peak,NEGATIVE
this is the one of those video that i can watch everyday,NEGATIVE
south africa but i am indian,NEUTRAL
what happens to sa in icc tournaments,NEUTRAL
everything is great but nothing can beat long onnnnn long onnnnnnnn long onnnnnnnnnnnnnnnnnn surya kuuuuuuumar yadav,POSITIVE
all time best match,POSITIVE
south africa are real choker of world cricket,POSITIVE
long off will be always remembered,NEGATIVE
