Unnamed: 0,Negative_Sentence,Sentiment
0,watching today,"Neutral
"
1,sa donated the cup to india these sa players cannot break the shackles of a choker tag,"Negative
"
2,i am crying,"Negative
"
3,uff the commentary is at its best,"Positive
"
4,forever india,"Positive
"
5,one of the most memorable final match ever,"Positive
"
6,epic final catch amp match ever,"Positive
"
7,what to typei dont know hoping for the champions trophy now,"Neutral
"
8,came back to see that catch by surya,"Positive
"
9,tears do not stop after seeing this,"Negative
"
10,pure cinema period,"Positive
"
11,a moment never to be forgotten team india played so well thank you hardik,"Positive
"
12,i am happy india won the world cup but i feel very much sad for south africa and especially heinrich klaasen,"Neutral
"
13,pant ne jo break liya vo best tha then india comback,"Positive
"
14,this is not a movement this is imotion,"Neutral
"
15,we won bt feeling for south africa i pray to god that they should win wtc finalpls god one to them pls god,"Positive
"
16,im english but no one will ever be able to persuade me south africa didnt choked this rather than india brilliance,"Negative
"
17,what about editing hats off,"Positive
"
18,klasan you r brilliant player,"Positive
"
19,real stars,"Positive
"
20,cinema at its best,"Positive
"
21,i cried a lot on that day,"Negative
"
22,hardik shubhkamnaye,"Positive
"
23,coolest moment,"Positive
"
24,indian players main in final hardiksuryabumrah,"Neutral
"
25,pakistani yo ka maa ka yaar hai my india,"Negative
"
26,hardik pandya such a characterhow mentally touch he is,"Positive
"
27,will always keep coming back and watching this world cup victory always makes my day a little more better,"Positive
"
28,goosebumps every time i watch this,"Positive
"
29,when rohit digged the indian flag,"Neutral
"
30,we can clearly see the emotion of hardik while bowling the last ballhe started runup by crying,"Negative
"
31,everytime i watch this i literally feel goosebumps i still remember that day i was sitting in the same pose on my sofa what an intense match it was it was rp who broke the rhythm of klassen and then hardik pandya did the rest job,"Positive
"
32,its time of champions trophy edit icc,"Neutral
"
33,fact this is not your first time seeing this,"Neutral
"
34,we need same moment icc champion trophy,"Positive
"
35,the match was not less than a thriller script,"Positive
"
36,nagaur rajasthan se kon kon dekh rha h,"Neutral
"
37,ian bishop is the greatest commentator in cricketer,"Positive
"
38,anyone on champions trophy,"Neutral
"
39,ankho me ansu ayatha match dekhkar,"Negative
"
40,lora,"Neutral
"
41,kise ka dil juda toh kisa ka sil tuta,"Negative
"
42,i rarely support indian team as im pakistan cricket team fan but my god this match i was team india all the way they really deserved it every inch of the success they deserved it,"Positive
"
43,hardik the clucth master,"Positive
"
44,lets go india,"Positive
"
45,india will champion trophy,"Positive
"
46,shandaar match,"Positive
"
47,who saw surya catch live,"Neutral
"
48,i only believe on jassi bhai he is a game changer player,"Positive
"
49,hope so india will repeat this in champion trophy also,"Positive
"
50,what a memory,"Positive
"
51,jetna baar dekho maan nahin bharta,"Positive
"
52,im hooked on roulette lately watching that wheel spin is just mesmerizing isnt it,"Positive
"
53,ive actually been getting into the cricket betting the live updates make it so much more thrilling,"Positive
"
54,respect for editor,"Positive
"
55,whenever life feels pointless i revisit this,"Negative
"
56,quotwhats a wordcup without records being brokenquot,"Neutral
"
57,pakistan abbu world cup jeet gaye,"Positive
"
58,still give goosebumps,"Positive
"
59,the most thriller final,"Positive
"
60,watching this before going to sleep to forget bad form of roko and bgt loss,"Negative
"
61,this world cup final is full of emotions best ever world cupnail biting thriller match,"Positive
"
62,hardik pandya the hero,"Positive
"
63,pure gossbums,"Positive
"
64,captain sharma jione more trphy for india,"Positive
"
65,my golden era gonna share with my kids one day,"Positive
"
66,no bumrah no cup,"Negative
"
67,jasprit bumrah pride of india,"Positive
"
68,what a movie absolutely banger,"Positive
"
69,skins come to shiver thats what this means to indians,"Negative
"
70,first world cup when there wasnt south africa second when india in south africaand third world cup there was coach from south africaand in fourth world there was oposite site of south africa,"Neutral
"
71,icc finals with ian smiths commentary match made in heaven,"Positive
"
72,jassi jesa koi nahi,"Positive
"
73,hardik redemption arc,"Positive
"
74,sandeep,"Neutral
"
75,underrated hero rishabh pant,"Positive
"
76,jay sah ne bola tha jhanda gadenge gaad diya rohit bhai ne,"Positive
"
77,always tears in my eyes when saw this video,"Positive
"
78,what a edit by icc,"Positive
"
79,india will win because jasprit bumrah wicket,"Positive
"
80,feeling very much happy when aiden markram was crying,"Positive
"
81,really goosebumps,"Positive
"
82,its time for champions trophy,"Neutral
"
83,one of the greatest catches when you looks at the occasion and pressure,"Positive
"
84,video,"Neutral
"
85,kuldeep the ultimate choker hope varun plays in champion trophy,"Negative
"
86,respect for south africa team,"Positive
"
87,klasen ki batting dekh kar kis kiske gote munh me aa gaye the,"Negative
"
88,thanks to india because when ever i feel low i watched this video,"Positive
"
89,what a moment india after winning tha cup,"Positive
"
90,last few seconds emotions at peak,"Positive
"
91,this is the one of those video that i can watch everyday,"Positive
"
92,south africa but i am indian,"Neutral
"
